Brand_Name,Train RMSE,Train MAE,Train R2,Train MAPE (%),Validation RMSE,Validation MAE,Validation R2,Validation MAPE (%),Test RMSE,Test MAE,Test R2,Test MAPE (%)
3m,0.2744364714183573,0.20162228316825673,0.9999702704467632,0.2871804459467742,1.1701767848843092,0.7008017585391089,0.9923364410004838,0.8366911421973622,0.8608819780363081,0.6014875546850343,0.9986980118971496,0.5496383296547406
adidas,0.06873808658834284,0.05393904666091626,0.9999979733371483,0.13119720314061908,0.654145096724649,0.4764153225963342,0.9947775363604641,0.5474934730075101,0.825411583189175,0.6002847894194168,0.9937220057103673,0.5013820254253316
adobe,0.3031547538307206,0.22419320649179497,0.9999960422072347,0.45217278801808847,4.93129450159171,3.66491239033048,0.9973338292718411,0.7569228615882662,5.1910869283914725,3.6445143728545193,0.9940482591124531,0.7143905758003629
airbnb,0.15878429794694732,0.12889274390968128,0.9999746781292949,0.0925319620963781,1.1708990609638101,0.9300955515059214,0.9924045682102438,0.7581100994009196,1.3525268992244397,0.9981267139165086,0.9907405576234094,0.7401209630028297
amazon,0.07559171742796128,0.04945223417351317,0.9999976597410182,0.5984810164129969,1.2349259961503076,0.9485954405769467,0.9957180205953036,0.7681423317977698,21.518424378196165,14.029914470634075,-0.07666264745624929,6.576185219365083
amd,0.145522615004511,0.10543831691501304,0.9999727705526507,0.9391224060541502,1.3513806393143313,1.0302360019986587,0.9941475469010858,1.0021451041451988,14.224390435234774,8.797473040494053,0.7371980010786109,5.261699037916888
american eagle outfitters,0.04476701937268086,0.03512885351347475,0.9999410038758778,0.405022113622334,0.1002274480854766,0.07742632381499752,0.9984456921899078,0.514297010704864,0.144929312271239,0.10978278246792879,0.9987522386587129,0.5865309061872122
american express,0.15044420719735188,0.11759098498586837,0.9999851605894796,0.2637969307841827,1.4568779163070888,1.030955705984655,0.9807324625708949,0.6206900646268877,78.87427052082047,70.86853154180032,-4.101478461564941,26.09006586656531
apple,0.17732718057003663,0.11981728887248218,0.9999828717286535,2.5801200244629943,8.67981106690529,5.625067937941776,0.7493892295196081,3.014085655591827,44.646291630933604,38.44132587163135,-2.4784629168863908,17.00377076525681
block,0.17024867249598072,0.1334807141941393,0.9999947070145497,0.31322796763128646,0.6289739474765333,0.5002250368632969,0.9969082562092283,0.7871947701721428,0.7108327295453774,0.5474368132186574,0.9953799735685386,0.7358888414099298
bmw group,0.0928854445279394,0.07141308787466957,0.9999672095842019,0.13442860930253545,11.018543629142608,7.428169518858943,-0.21850923352070395,6.590087894972534,4.883713001019243,2.455615472356114,0.8103798520714793,2.3686607478474073
chipotle,0.23088507085166068,0.18038798239822268,0.9999997552799473,0.08344394630708946,145.2170928659868,91.36404674271664,0.6166006221094269,4.290562985607855,535.3171677892356,282.8063071087153,0.8276330704061585,17.428392903116947
