Brand_Name,Train RMSE,Train MAE,Train R2,Train MAPE (%),Validation RMSE,Validation MAE,Validation R2,Validation MAPE (%),Test RMSE,Test MAE,Test R2,Test MAPE (%),Model
3m,0.2357022838760089,0.14640464702371545,0.9999780703191731,0.18884628813549928,1.7507137226682632,1.059436737079795,0.9828462995733932,1.22725708791461,1.2790758838369467,0.8459887607073522,0.997128339560291,0.750528066059552,"RandomForestRegressor(max_depth=13, max_features='sqrt', n_estimators=500,
                      n_jobs=-1, random_state=42)"
adidas,0.19419031541271903,0.10977799073026988,0.9999838250940672,0.18230251373068687,0.7969729734400642,0.5271469519657148,0.9922479880720119,0.6001402106908259,0.9620506348004941,0.6579642175471598,0.9914509984693819,0.5545640737195818,"RandomForestRegressor(max_depth=15, max_features='sqrt', n_estimators=500,
                      n_jobs=-1, random_state=42)"
adobe,0.7435606555485492,0.32341709177067846,0.9999761901265134,0.30566043160391254,4.837575825469646,3.8290879741972743,0.9974342068160659,0.8348275425755173,4.882460067803562,3.537580420726963,0.9947421961883927,0.7146524203284779,"RandomForestRegressor(max_depth=15, max_features='sqrt', n_estimators=500,
                      n_jobs=-1, random_state=42)"
airbnb,0.9856329378677562,0.7116618656828948,0.9990243116999425,0.4915366207938703,2.1147897284891375,1.5977518220269462,0.975223044702759,1.2729744404766505,2.215991003815438,1.6768867209734697,0.9751211434897722,1.233260066409037,"RandomForestRegressor(max_depth=13, max_features='sqrt', n_estimators=500,
                      n_jobs=-1, random_state=42)"
amazon,0.2871834183473287,0.11949568313288524,0.9999662219777933,0.45880249996820754,1.2288329490673724,0.9738878559766485,0.9957601703892968,0.8170072870132288,21.47398248891212,13.999286310493895,-0.0744157708675568,6.562360385783293,"RandomForestRegressor(max_depth=17, max_features='log2', min_samples_split=6,
                      n_estimators=500, n_jobs=-1, random_state=42)"
amd,0.23627499361565757,0.10884460742056405,0.9999282183616321,0.5371020973016991,1.5711535479544423,1.1204482665605555,0.9920892106975856,1.0871036336883415,13.271936576578145,8.078757059804195,0.7714045941099333,4.8218847718677385,"RandomForestRegressor(max_depth=13, max_features='sqrt', n_estimators=500,
                      n_jobs=-1, random_state=42)"
american eagle outfitters,0.05510086218441364,0.0344740032793913,0.9999106233833673,0.3299403863846228,0.14577920196532468,0.11106794732474512,0.9967118257765135,0.7310605125083371,0.2019458443995433,0.15203755567137545,0.9975944583467767,0.8310056979739575,"RandomForestRegressor(max_depth=15, max_features='sqrt', n_estimators=500,
                      n_jobs=-1, random_state=42)"
american express,0.23840134265678156,0.13159120212566036,0.9999627365463835,0.2404077047666289,1.2543640812376953,0.967640858095008,0.9857167476279887,0.5927154781694906,78.43280793418865,70.39695505177612,-4.049528381325258,25.897985763250592,"RandomForestRegressor(max_depth=15, max_features='sqrt', n_estimators=500,
                      n_jobs=-1, random_state=42)"
apple,0.26445001729940104,0.13214978140838957,0.9999619065667659,1.1789256871200673,8.566441793340744,5.599002837753755,0.755893061314871,2.998888611880687,44.680915948186026,38.4873447853504,-2.4877308788322967,17.029167146713327,"RandomForestRegressor(max_depth=9, max_features='log2', n_estimators=500,
                      n_jobs=-1, random_state=42)"
block,0.9549273184961921,0.6316769837621931,0.9998334771376568,0.8311290880356654,1.0165514211478943,0.8102469389782762,0.9919239892781893,1.289216397268373,1.1551293324815197,0.878933343527194,0.987799690389606,1.1830860737856008,"RandomForestRegressor(max_depth=9, max_features='log2', n_estimators=500,
                      n_jobs=-1, random_state=42)"
bmw group,0.11957902841661412,0.07420674369512259,0.9999456547442482,0.13564063596784615,10.910711675575806,7.374266359890635,-0.1947762799158177,6.543995146921011,4.88035523068618,2.6777100116848103,0.8106405070391272,2.634175932929773,"RandomForestRegressor(max_depth=15, max_features='sqrt', n_estimators=500,
                      n_jobs=-1, random_state=42)"
chipotle,2.5266710432254627,1.3659527027206393,0.9999706927371421,0.30071104849877145,144.50461504028564,93.74398364596802,0.6203535335516148,4.422411350773056,536.4345030702999,290.5588322101358,0.8266664105281294,32.873526923339334,"RandomForestRegressor(max_depth=15, max_features='sqrt', n_estimators=500,
                      n_jobs=-1, random_state=42)"
cisco,0.09345189420976634,0.0519498127095211,0.99994795225178,0.23071999716675656,0.24975638844056383,0.1906806534412119,0.9927794426636514,0.37807953682894857,1.662983779227053,0.9177393743722023,0.920785118399232,1.5258591526792498,"RandomForestRegressor(max_depth=15, max_features='sqrt', n_estimators=500,
                      n_jobs=-1, random_state=42)"
coinbase,1.7070755044284946,1.2165214975878218,0.99968217972226,0.8489273161576305,6.168482479818854,3.679488805480185,0.9519212956303941,4.053333277713837,7.6162283113909135,5.675545942777916,0.9759569569576139,2.64176711889669,"RandomForestRegressor(max_depth=15, max_features='sqrt', n_estimators=500,
                      n_jobs=-1, random_state=42)"
colgate palmolive,0.08836844127063453,0.056346055115511336,0.9999823497225145,0.15272707911917172,0.2943618193435603,0.2346439290583478,0.9883833194263395,0.31514226943110946,13.911440425231866,12.41503993806938,-3.690940896970244,12.952074967773486,"RandomForestRegressor(max_depth=15, max_features='sqrt', n_estimators=500,
                      n_jobs=-1, random_state=42)"
costco,0.6801280681244525,0.29893104847493573,0.9999730203739503,0.24985622396355758,14.746898378014224,6.404655933910684,0.878359868359722,1.088383885720308,312.8123201274925,294.5482774537533,-7.882869715871724,32.6831600723658,"RandomForestRegressor(max_depth=19, max_features='log2', min_samples_split=5,
                      n_estimators=500, n_jobs=-1, random_state=42)"
