Brand_Name,Train RMSE,Train MAE,Train R2,Train MAPE (%),Validation RMSE,Validation MAE,Validation R2,Validation MAPE (%),Test RMSE,Test MAE,Test R2,Test MAPE (%)
3m,3.1693859713626704,2.3664742025003944,0.9960308657644128,3.39602351953745,3.611559794868585,2.6640141805013022,0.915155251091667,3.000589852572084,4.808814015718083,3.5144971078603056,0.9578394104210696,2.9838440618696174
adidas,4.421335471339195,2.769369801745614,0.9916172974905448,4.265546921785461,2.757068608290553,2.238985869844081,0.8998462588706363,2.5585560072322515,5.617174491964992,4.673894199572109,0.6422681343047498,3.863710019061389
adobe,7.079502691884903,4.65842855480588,0.997844723677379,8.448339818887582,13.631970330505208,10.788829046965656,0.9786143670215572,2.3118544731552295,18.2053823694273,13.496878019802233,0.9232046208355843,2.8283936214817644
airbnb,7.670459656572999,6.049970532032415,0.9424225396021757,4.201638890104823,7.90739667313352,6.480717815930332,0.5250452275375013,5.074830145502246,6.923899165118813,5.000311686730511,0.7659221690310694,3.7726290371548012
amazon,2.3365006979328484,1.3492498254443488,0.9977676587484855,22.298684378480164,3.6457254009727316,2.934328811581125,0.9583257039756968,2.371857636189747,27.2329919525855,23.048864274748958,-0.9538670711596904,11.338371979652454
amd,2.1890419422413787,1.3236042549696483,0.9938540062403388,11.789258638151823,4.051615220544298,3.1611081859733483,0.9348590151211625,3.0464446045738947,20.591578377729967,16.359703063964844,0.4640278836408167,10.551106790642852
american eagle outfitters,0.4626213391144334,0.3353857984992257,0.9936955251146785,3.9900991208142695,0.5476514046509052,0.4186792655333185,0.9562804934706803,2.8826825187426675,0.5867367453972595,0.45273215858099974,0.9802988724442765,2.6281928447478875
american express,2.165977113543792,1.5124178144226286,0.9969277795849134,3.4409830656216127,3.6244101836121754,2.8410643238132285,0.8774434598869155,1.733550183023427,53.75962859120311,47.77783840567885,-1.7677271217863142,17.429870494980946
apple,3.168687796536041,2.3067107453622175,0.9945389941799091,187.38263914828295,13.53682403362362,11.588346907861121,0.1352142237856403,6.39897930292361,45.631493094516166,41.679080224162,-2.6875922472697327,18.714259627631705
block,6.738706674201819,4.7353135057397795,0.9917075360930839,10.35598148018282,4.185662754590698,3.3546676474784496,0.8656013404336949,5.8133671238610685,4.8490435661666895,3.652386232932902,0.7912574625107603,4.7965169568858865
